Dataset,Model,Base Model,Target Transform,Param,Value
World Bank USA Real GDP Yearly,TiDE,TiDE,raw,input_chunk_length,12
World Bank USA Real GDP Yearly,TiDE,TiDE,raw,output_chunk_length,12
World Bank USA Real GDP Yearly,TiDE,TiDE,raw,n_epochs,30
World Bank USA Real GDP Yearly,TiDE,TiDE,raw,batch_size,32
World Bank USA Real GDP Yearly,TiDE,TiDE,raw,random_state,42
World Bank USA Real GDP Yearly,TiDE,TiDE,raw,hidden_size,128
World Bank USA Real GDP Yearly,TiDE,TiDE,raw,dropout,0.1
World Bank USA Real GDP Yearly,TiDE,TiDE,raw,num_encoder_layers,1
World Bank USA Real GDP Yearly,TiDE,TiDE,raw,num_decoder_layers,1
World Bank USA Real GDP Yearly,Holt-Winters [log],Holt-Winters,log,seasonal_periods,1
World Bank USA Real GDP Yearly,Holt-Winters [log],Holt-Winters,log,trend,ModelMode.ADDITIVE
World Bank USA Real GDP Yearly,Holt-Winters [log],Holt-Winters,log,seasonal,ModelMode.NONE
World Bank USA Real GDP Yearly,Holt-Winters [log],Holt-Winters,log,damped,True
World Bank USA Real GDP Yearly,Chronos2,Chronos2,raw,model,amazon/chronos-2
World Bank USA Real GDP Yearly,TimeGPT,TimeGPT,raw,model,timegpt-1
World Bank USA Real GDP Yearly,GraniteTTM,GraniteTTM,raw,model,ibm-granite/granite-timeseries-ttm-r1
World Bank USA Real GDP Yearly,N-BEATS,N-BEATS,raw,input_chunk_length,12
World Bank USA Real GDP Yearly,N-BEATS,N-BEATS,raw,output_chunk_length,6
World Bank USA Real GDP Yearly,N-BEATS,N-BEATS,raw,n_epochs,15
World Bank USA Real GDP Yearly,N-BEATS,N-BEATS,raw,batch_size,64
World Bank USA Real GDP Yearly,N-BEATS,N-BEATS,raw,random_state,42
World Bank USA Real GDP Yearly,N-BEATS,N-BEATS,raw,num_stacks,10
World Bank USA Real GDP Yearly,N-BEATS,N-BEATS,raw,num_blocks,1
World Bank USA Real GDP Yearly,N-BEATS,N-BEATS,raw,layer_widths,256
World Bank USA Real GDP Yearly,AutoARIMA [log],AutoARIMA,log,season_length,1
World Bank USA Real GDP Yearly,AutoARIMA [log],AutoARIMA,log,seasonal,False
World Bank USA Real GDP Yearly,AutoARIMA [log],AutoARIMA,log,max_p,3
World Bank USA Real GDP Yearly,AutoARIMA [log],AutoARIMA,log,max_q,3
World Bank USA Real GDP Yearly,AutoARIMA [log],AutoARIMA,log,stepwise,True
World Bank USA Real GDP Yearly,Prophet [log],Prophet,log,seasonality_mode,additive
World Bank USA Real GDP Yearly,Prophet [log],Prophet,log,changepoint_prior_scale,0.5
World Bank USA Real GDP Yearly,TFT,TFT,raw,input_chunk_length,24
World Bank USA Real GDP Yearly,TFT,TFT,raw,output_chunk_length,6
World Bank USA Real GDP Yearly,TFT,TFT,raw,n_epochs,30
World Bank USA Real GDP Yearly,TFT,TFT,raw,batch_size,32
World Bank USA Real GDP Yearly,TFT,TFT,raw,random_state,42
World Bank USA Real GDP Yearly,TFT,TFT,raw,hidden_size,32
World Bank USA Real GDP Yearly,TFT,TFT,raw,lstm_layers,1
World Bank USA Real GDP Yearly,TFT,TFT,raw,num_attention_heads,4
World Bank USA Real GDP Yearly,TFT,TFT,raw,dropout,0.1
World Bank USA Real GDP Yearly,TFT,TFT,raw,add_relative_index,True
